Zip Code,DMA,Country,Population
52236,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"IOWA, IA",809
52237,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"DELAWARE, IA",1478
52240,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JOHNSON, IA",34288
52241,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JOHNSON, IA",20282
52242,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JOHNSON, IA",1654
52245,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JOHNSON, IA",24694
52246,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JOHNSON, IA",22901
52247,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"WASHINGTON, IA",5863
52248,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"KEOKUK, IA",1939
52249,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BENTON, IA",1005
52251,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"IOWA, IA",609
52253,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN SOUTH, IA",3258
52254,Davenport IA-Rock Island-Moline IL,"CLINTON, IA",818
52255,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CEDAR, IA",1427
52257,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BENTON, IA",279
52301,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"IOWA, IA",3629
52302,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN NORTH, IA",39751
52305,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JONES, IA",542
52306,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CEDAR, IA",1733
52307,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"IOWA, IA",161
52309,Davenport IA-Rock Island-Moline IL,"JACKSON, IA",383
52310,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JONES, IA",6509
52313,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BENTON, IA",353
52314,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN SOUTH, IA",6075
52315,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BENTON, IA",1255
52316,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"IOWA, IA",1808
52317,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JOHNSON, IA",19250
52318,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BENTON, IA",839
52320,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JONES, IA",1156
52321,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JONES, IA",435
52322,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JOHNSON, IA",2777
52323,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JONES, IA",909
52324,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN NORTH, IA",1860
52325,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"IOWA, IA",902
52326,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BUCHANAN, IA",488
52327,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"WASHINGTON, IA",3077
52328,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN NORTH, IA",2801
52329,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BUCHANAN, IA",901
52330,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"DELAWARE, IA",767
52332,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BENTON, IA",2072
52333,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JOHNSON, IA",6604
52334,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"IOWA, IA",160
52335,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"KEOKUK, IA",644
52336,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN NORTH, IA",2367
52337,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CEDAR, IA",618
52338,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JOHNSON, IA",3588
52339,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"TAMA, IA",4400
52340,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JOHNSON, IA",2877
52341,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN NORTH, IA",967
52342,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"TAMA, IA",3251
52345,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BENTON, IA",1480
52346,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BENTON, IA",1212
52347,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"IOWA, IA",1452
52348,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"TAMA, IA",66
52349,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BENTON, IA",7451
52351,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BENTON, IA",1377
52352,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN NORTH, IA",1747
52353,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"WASHINGTON, IA",9284
52354,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"BENTON, IA",336
52355,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"KEOKUK, IA",299
52356,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"WASHINGTON, IA",2636
52358,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CEDAR, IA",3519
52359,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"WASHINGTON, IA",213
52361,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"IOWA, IA",4440
52362,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JONES, IA",902
52401,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN SOUTH, IA",2146
52402,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN SOUTH, IA",42068
52403,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN SOUTH, IA",22538
52404,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN SOUTH, IA",38796
52405,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN SOUTH, IA",25074
52411,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"LINN SOUTH, IA",7646
52501,Ottumwa IA-Kirksville MO,"WAPELLO, IA",29662
52530,Ottumwa IA-Kirksville MO,"WAPELLO, IA",1017
52531,Des Moines-Ames IA,"MONROE, IA",5984
52533,Ottumwa IA-Kirksville MO,"JEFFERSON, IA",1651
52534,Des Moines-Ames IA,"MAHASKA, IA",288
52535,Ottumwa IA-Kirksville MO,"VAN BUREN, IA",1081
52536,Ottumwa IA-Kirksville MO,"WAPELLO, IA",1058
52537,Ottumwa IA-Kirksville MO,"DAVIS, IA",7281
52540,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"WASHINGTON, IA",1200
52542,Ottumwa IA-Kirksville MO,"VAN BUREN, IA",445
52543,Des Moines-Ames IA,"MAHASKA, IA",373
52544,Des Moines-Ames IA,"APPANOOSE, IA",7235
52548,Ottumwa IA-Kirksville MO,"WAPELLO, IA",101
52549,Des Moines-Ames IA,"APPANOOSE, IA",846
52550,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"KEOKUK, IA",402
52551,Ottumwa IA-Kirksville MO,"VAN BUREN, IA",444
52552,Ottumwa IA-Kirksville MO,"DAVIS, IA",862
52553,Ottumwa IA-Kirksville MO,"WAPELLO, IA",2063
